business_id,billed amount,log_billed_amount,product,product_idx,size,size_idx,region,region_idx,industry,industry_idx
b00000,2218.42337871,7.70455203279,DisplayOnTarget,0,size_g_100,0,northeast,0,other_ind,0
b00001,4839.42487668,8.48455116552,Email Marketing,1,size_less_50,1,northeast,0,other_ind,0
b00002,1204.04428668,7.09344140815,Social,2,unavailable,2,northeast,0,other_ind,0
b00003,1478.45798542,7.29875492185,DisplayOnTarget,0,size_less_50,1,south,1,other_ind,0
b00004,1914.52288997,7.55722372696,DisplayOnTarget,0,size_less_50,1,south,1,offices_of_physicians_except_mental_health_specialists,1
b00005,15017.7125897,9.61698562276,DisplayOnTarget,0,unavailable,2,south,1,other_ind,0
b00006,1553.92666703,7.34854034,Email Marketing,1,size_50_100,3,northeast,0,food_services_and_drinking_places,2
b00007,1430.17994247,7.26555554924,Social,2,size_less_50,1,midwest,2,other_ind,0
b00008,5609.44323145,8.63220674786,SEM,3,size_less_50,1,northeast,0,other_ind,0
b00009,1898.97386855,7.54906895008,DisplayOnTarget,0,size_less_50,1,west,3,offices_of_all_other_miscellaneous_health_practitioners,3
b00010,5022.55834755,8.52169471385,SEM,3,size_less_50,1,west,3,offices_of_all_other_miscellaneous_health_practitioners,3
b00011,3776.77299267,8.23662521836,SEM,3,unavailable,2,northeast,0,other_ind,0
b00012,1573.45242048,7.36102747803,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00013,1393.47127618,7.23955323399,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00014,1412.01855613,7.2527755597,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00015,342.677194963,5.83678888148,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00016,419.588902775,6.03927542902,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00017,7413.67962003,8.91108216994,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00018,1993.50193039,7.59764813516,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00019,757.117260957,6.62951814363,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00020,1076.42715948,6.98140265031,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00021,2312.22880044,7.74596718703,DisplayOnTarget,0,size_less_50,1,midwest,2,other_ind,0
b00022,1478.38016558,7.29870228466,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00023,365.843690181,5.90220616617,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00024,5522.80324159,8.61664084399,DisplayOnTarget,0,size_less_50,1,midwest,2,other_ind,0
b00025,2465.28077725,7.81006098557,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00026,987.797430423,6.89547764679,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00027,557.323296876,6.32314549682,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00028,856.852359748,6.75326562808,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00029,1176.56590688,7.07035522605,DisplayOnTarget,0,size_50_100,3,midwest,2,new_car_dealers,4
b00030,1152.85384887,7.04999575496,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00031,1024.19770589,6.93166485913,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00032,1434.00847721,7.26822893272,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00033,1316.400945,7.18265673494,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b00034,6121.50317565,8.71956296228,SEM,3,size_less_50,1,midwest,2,other_ind,0
b00035,4531.44507252,8.41879616816,SEM,3,size_less_50,1,south,1,food_services_and_drinking_places,2
b00036,1030.94986005,6.93823585049,DisplayOnTarget,0,size_less_50,1,west,3,other_ind,0
b00037,16591.2479736,9.7166306048,SEM,3,size_less_50,1,south,1,offices_of_dentists,5
b00038,949.291651595,6.85571607657,Email Marketing,1,size_50_100,3,northeast,0,elementary_and_secondary_schools,6
b00039,12622.4391979,9.44323139776,SEM,3,size_50_100,3,northeast,0,elementary_and_secondary_schools,6
b00040,2729.46559212,7.91186111521,DisplayOnTarget,0,unavailable,2,midwest,2,other_ind,0
b00041,953.289799238,6.85991894897,Email Marketing,1,unavailable,2,midwest,2,other_ind,0
b00042,2361.7084606,7.7671405601,Social,2,unavailable,2,midwest,2,other_ind,0
b00043,12098.2592842,9.40081686042,DisplayOnTarget,0,size_less_50,1,south,1,offices_of_lawyers,7
b00044,11982.9971116,9.39124401664,SEM,3,size_less_50,1,south,1,offices_of_lawyers,7
b00045,1530.44066602,7.33331098993,Social,2,unavailable,2,northeast,0,other_ind,0
b00046,2553.96103394,7.8454007796,Email Marketing,1,size_50_100,3,midwest,2,elementary_and_secondary_schools,6
b00047,997.589698935,6.90534206846,DisplayOnTarget,0,size_g_100,0,northeast,0,other_ind,0
b00048,711.486810085,6.56735687918,DisplayOnTarget,0,size_less_50,1,south,1,other_ind,0
b00049,1630.94896176,7.39691730952,Social,2,size_less_50,1,south,1,other_ind,0
b00050,469.857313274,6.15242905983,DisplayOnTarget,0,size_less_50,1,south,1,other_ind,0
