business_id,billed amount,log_billed_amount,product,product_idx,size,size_idx,region,region_idx,industry,industry_idx
b03051,896.413102085,6.79840135816,Display,0,size_less_50,1,northeast,0,other_ind,0
b10014,818.6377453360001,6.7076416726199986,Display,0,size_50_100,3,midwest,2,other_ind,0
b01342,452.298444561,6.11434223752,Display,0,unavailable,2,northeast,0,other_ind,0
b11218,871.714100862,6.770461504169999,Email,1,size_less_50,1,south,1,other_ind,0
b00181,1831.6654644,7.512980921789999,Display,0,size_less_50,1,midwest,2,other_ind,0
b08684,6013.85591947,8.701821405739999,Social Ads,2,size_less_50,1,northeast,0,other_ind,0
b09913,878.814745607,6.77857411962,Email,1,unavailable,2,northeast,0,other_ind,0
b00136,1431.84938366,7.26672216298,Display,0,size_less_50,1,midwest,2,offices_of_physicians_except_mental_health_specialists,1
b10747,1533.60873452,7.33537888715,Display,0,unavailable,2,south,1,other_ind,0
b06532,574.836591996,6.35408581258,Social Ads,2,unavailable,2,midwest,2,other_ind,0
b03852,3289.74950833,8.09856670358,SEM,3,size_50_100,3,west,3,other_ind,0
b09427,10561.6627497,9.26498600222,SEM,3,size_less_50,1,south,1,other_ind,0
b00280,7223.80101125,8.88513654921,Display,0,size_less_50,1,northeast,0,offices_of_physicians_except_mental_health_specialists,1
b10086,642.310553392,6.465071914759999,Display,0,unavailable,2,midwest,2,other_ind,0
b04289,913.9534614989999,6.8177796527600005,Social Ads,2,unavailable,2,northeast,0,offices_of_dentists,5
b09687,635.480762719,6.45438181908,Display,0,size_less_50,1,west,3,food_services_and_drinking_places,2
b08113,768.0504903269998,6.6438554736,Display,0,size_g_100,0,northeast,0,other_ind,0
b00342,995.266333153,6.90301037285,Display,0,unavailable,2,northeast,0,other_ind,0
b01951,844.6657161630002,6.73894094691,Email,1,unavailable,2,northeast,0,other_ind,0
b11730,956.0882205360001,6.86285018969,Display,0,unavailable,2,northeast,0,other_ind,0
b10592,1590.71702358,7.371940151789999,Social Ads,2,size_less_50,1,south,1,offices_of_physicians_except_mental_health_specialists,1
b12563,11238.353577700002,9.327087633869999,Display,0,size_less_50,1,south,1,other_ind,0
b10252,2912.62630749,7.9768104643100015,Social Ads,2,size_less_50,1,midwest,2,other_ind,0
b03743,774.978798725,6.6528356725,Display,0,unavailable,2,south,1,other_ind,0
b01496,525.145462516,6.263675295669999,Display,0,size_g_100,0,south,1,other_ind,0
b08151,638.044385141,6.45840785011,Display,0,size_less_50,1,south,1,offices_of_all_other_miscellaneous_health_practitioners,3
b01580,617.526136595,6.42572139408,Display,0,unavailable,2,northeast,0,other_ind,0
b06846,1930.60977867,7.5655911794899975,SEO,4,size_less_50,1,south,1,other_ind,0
b10816,597.893489101,6.39341262622,Display,0,size_less_50,1,south,1,offices_of_all_other_miscellaneous_health_practitioners,3
b13057,1776.17571185,7.482217855510001,SEM,3,size_less_50,1,northeast,0,fullservice_restaurants,8
b06734,1438.29964811,7.27121689495,SEM,3,size_less_50,1,west,3,other_ind,0
b12946,1568.64493783,7.357967428739999,Social Ads,2,unavailable,2,south,1,fullservice_restaurants,8
b07917,934.0960509260001,6.83957927119,Email,1,size_50_100,3,south,1,elementary_and_secondary_schools,6
b03536,645.665211065,6.470281120319999,SEM,3,unavailable,2,south,1,other_ind,0
b08951,626.0702180559999,6.43946253423,Display,0,unavailable,2,northeast,0,other_ind,0
b03312,1320.88814845,7.18605962906,Display,0,unavailable,2,midwest,2,other_ind,0
b06934,2494.26386518,7.821748920639999,SEM,3,size_g_100,0,northeast,0,new_car_dealers,4
b00813,1500.9429353,7.313848813119999,Display,0,unavailable,2,northeast,0,other_ind,0
